"GEOID","INVERSE_DIST_10mile","INVERSE_DIST_20mile","COUNT_5mile"
"51059461100",1.28316899798402e-05,1.71850003386986e-05,198
"51059461201",1.80271824602402e-05,2.64591986881448e-05,152
"51059461202",1.69437291373911e-05,2.60378817748218e-05,123
"51059461500",1.59854615255578e-05,2.06937178142493e-05,207
"51059461601",1.71835234696956e-05,2.12610207523417e-05,285
"51059461602",3.18023510264007e-05,3.78364701269677e-05,327
"51059461700",1.63209850087343e-05,2.01209525933327e-05,290
"51059461801",7.45925933463119e-05,9.80457210605381e-05,187
"51059461802",1.90267851773865e-05,2.60194517116519e-05,146
"51059461901",2.99931210358754e-05,3.79042460129188e-05,212
"51059461902",5.79826350864771e-05,7.84218959708866e-05,142
"51059470100",2.61922002059719e-05,3.64866403979309e-05,143
"51059470300",2.80068671928553e-05,3.48870501543953e-05,274
"51059470400",1.84512180833532e-05,2.35846774904693e-05,256
"51059470500",1.77363568298188e-05,2.24888850455757e-05,176
"51059470600",3.86617242287252e-05,4.7933511824192e-05,227
"51059470700",1.99807937698528e-05,2.43916199454923e-05,291
"51059470800",3.68671527571192e-05,4.48266434441756e-05,269
"51059470900",1.67589710303003e-05,1.95209542316199e-05,354
"51059471000",6.77212265758144e-05,7.78816865672703e-05,359
"51059471100",1.90075651160871e-05,2.25806980541239e-05,259
"51059471201",4.35191412202082e-05,5.10340091028107e-05,243
"51059471202",2.4878005210726e-05,3.03396143213104e-05,244
"51059471301",3.39064614281292e-05,3.9707749521297e-05,274
"51059471303",3.36363845109716e-05,3.95704099413481e-05,303
"51059471304",7.31074210458283e-05,8.55666686585509e-05,338
"51059471401",3.98462935284335e-05,4.54369006994893e-05,374
"51059471402",3.741854576051e-05,4.38345734636132e-05,353
"51059480100",7.93795595649377e-06,1.76976334395904e-05,33
"51059480201",1.85763323373321e-05,2.48864409292223e-05,163
"51059480202",3.96552722680561e-05,4.92464289909271e-05,198
"51059480203",5.61048865977063e-05,7.02004952298334e-05,209
"51059480300",8.70457111491582e-06,1.34738293742549e-05,139
"51059480401",1.15882575639827e-05,1.95561385686413e-05,99
"51059480402",7.46668300299928e-06,1.35103999020879e-05,126
"51059480501",1.65212829715532e-05,2.65652853147953e-05,182
"51059480502",1.09376427964185e-05,1.71617214955696e-05,183
"51059480503",2.00829056528475e-05,3.02091416324708e-05,189
"51059480504",3.45156370008614e-05,5.13811544292921e-05,175
"51059480505",2.45454397633655e-05,3.56470192661946e-05,172
"51059480801",1.43883358084437e-05,2.09010234098153e-05,190
"51059480802",2.14904471613409e-05,3.04969758006032e-05,189
"51059480901",1.19218139949872e-05,1.67982098048279e-05,187
"51059480902",2.35138465418916e-05,3.26405235806587e-05,166
"51059480903",1.87754359067629e-05,2.64435338984979e-05,173
"51059481000",1.25018591537945e-05,1.80229279288716e-05,193
"51059481101",4.26662704188196e-05,5.97922958715851e-05,175
"51059481102",2.59848582854148e-05,3.69303301614722e-05,174
"51059481103",2.27373131076189e-05,3.30023263072318e-05,166
"51059481104",2.68663211292094e-05,4.03061106820955e-05,155
"51059481105",1.19075685778429e-05,1.82966758082305e-05,140
"51059481106",1.23547022280703e-05,1.95186440121954e-05,127
"51059481201",6.01458902709504e-05,8.86072546099202e-05,166
"51059481202",1.14496187753588e-05,1.72018104642494e-05,135
"51059481400",1.22598830523976e-05,1.81951834656346e-05,136
"51059481500",2.93000378522507e-05,4.56195146187508e-05,178
"51059481600",2.0039637994729e-05,3.12191723008473e-05,163
"51059481701",9.81004204156104e-06,1.65398601378284e-05,158
"51059481702",1.47914041250447e-05,2.48487721182548e-05,159
"51059481900",1.16690646200978e-05,1.81858473465962e-05,119
"51059482001",1.2992926743737e-05,2.03791294027282e-05,149
